ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,AML,AML,AML,AML,AML,AML,AML,AML,AML,AML,AML,AML,AML,AML,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,AML,AML,AML,AML,AML,AML,AML,AML,AML,AML,AML
-1.533621735,-0.867609617,-0.433171907,-1.671903187,-1.187689367,-1.127233645,-1.045409132,-0.10691701,-1.198795743,-1.190898674,-1.105919423,-0.943098499,-1.005553539,-1.199156479,-1.312452886,-1.122599757,-1.092410235,-0.776169285,-0.980795119,-0.613801763,-0.631300565,-1.237939397,-1.012573649,-1.039053979,-1.054255348,-1.27233445,-1.023495168,-1.356124321,-0.721482036,-0.815012375,-0.996847482,-1.133227305,-0.670192151,-1.24975216,-1.280273766,-1.161062469,-0.812564228,-1.030645156,-1.318718347,-1.140945625,-0.826337426,-1.378964378,-0.581850039,-1.050584873,-1.303766853,-0.938173175,-1.154190837,-1.109165771,-1.253214518,-1.148392509,-1.482120188,-1.074702229,-0.870944345,-0.586019735,-1.348229703,-1.47113714,-0.869660613,-1.10819064,-1.045712812,-1.160372839,-1.154190837,-0.582891512,-0.436650286,-1.274707812,-0.681458483,-0.876609909,-0.624021798,-0.431627644,-1.435258834,-0.671953767,-1.013160912,-0.969482172
-1.235672925,-1.275500531,-1.184492247,-1.596423985,-1.335255683,-1.113730394,-0.800880189,-0.745176611,-0.849312058,-1.190898674,-1.013454674,-0.87506197,-1.242111193,-1.181660492,-1.254758177,-1.276294052,-1.185911693,-1.279077724,-1.063184843,-1.365442859,-0.56362166,-1.390428049,-1.220722645,-1.097532979,-1.040563299,-0.835274961,-1.507919012,-1.197714469,-1.629343671,-1.313701855,-1.68194449,-1.250520278,-1.489009829,-1.487413639,-1.128562067,-0.952741623,-0.729946446,-0.958291961,-1.385361598,-0.948873786,-1.057017552,-1.149072661,-1.060404571,-1.114057327,-1.269181072,-1.057940081,-1.263302266,-1.228537301,-1.112423851,-1.460328738,-1.118975686,-1.356565395,-0.914413961,-1.387660115,-1.568147632,-0.971452961,-1.53191442,-1.506823906,-1.280672854,-1.524005392,-1.245922584,-1.258630465,-0.9154827,-1.35436266,-0.653558966,-1.096249595,-1.066594155,-1.335255683,-1.204586362,-0.751457095,-0.889592102,-1.080987614
-0.333982875,0.375926519,-0.459196002,-1.422571436,-0.797492909,-1.362768335,-0.671953767,-1.175674264,0.320813402,0.646609518,-0.307699338,-0.451395805,-0.470556276,-0.867865792,-0.381025702,-0.884641309,-1.418232561,-0.667993052,-0.284920738,-0.460368434,-0.389925838,-0.352630767,-0.402857739,0.236716181,-0.173864152,-1.02379204,-0.78594812,-0.311387993,-0.614014024,-0.532972724,-0.075492007,-0.779261818,-0.876868103,-0.942550112,-0.817465416,-0.608081111,-1.319557661,0.293169466,-1.185911693,0.330081745,0.261925142,-0.456462778,-0.173507198,-0.313418557,-0.95384934,0.075492007,-0.835524177,-1.12657018,-1.316624115,-0.873258688,-0.622100602,-1.242111193,0.008966177,-0.323590976,-1.398796435,-1.25167384,-0.561150553,-1.091134021,-1.061021701,-1.013748524,-0.714883747,-0.719430941,-0.736156317,-0.022153247,-0.03745523,-0.567334791,-1.100749374,-0.552938106,-0.948873786,-0.231656782,-0.742163141,-0.779500014
0.488702121,0.444010978,0.436263539,0.193352945,0.235631518,-0.360311619,0.184940947,0.425653295,0.333982875,0.235270026,0.316004783,0.246672082,0.145551453,0.252657317,0.109392719,-0.315819983,0.413749773,0.201958072,0.38121475,0.305672364,-0.164590414,0.285470044,0.186014078,0.442459371,0.439165736,0.374606108,0.519847097,-0.350573604,0.636458708,0.157644432,0.106563391,-0.035696003,0.385187923,-0.530542678,-0.220834976,0.358061384,0.275230325,-0.467808631,0.079371332,-0.147328456,-0.268298409,-0.494455239,0.225701513,0.35319207,-0.132947608,-0.28785137,0.13117416,0.272492481,0.050301446,0.316744092,0.181544096,-0.146439897,0.335470354,0.03639968,0.171901179,-0.640770128,-0.69796147,0.242505787,0.549459109,-0.280895106,-0.144840781,-0.097550489,0.08378111,0.356562235,0.416240764,0.533986172,0.227505285,0.416815974,0.408202159,0.326556477,0.361812789,0.298863516
-1.300893264,-1.229659818,-1.325882367,-1.818328843,-1.311205961,-1.513974676,-1.6516236,-1.339555324,-0.593131725,0.133302347,-1.433291877,-1.199878421,-1.446177699,-1.423055189,-1.551531761,-1.249368378,-1.603378244,-1.390890408,-1.376693278,-1.25514456,-1.230783888,-1.678338864,-1.246687037,-1.60274283,-1.638023707,-1.262521718,-1.601473939,-1.448683443,-1.499208271,-1.460839564,-1.599575424,-1.169729872,-1.457271755,-1.502461447,-1.454734632,-1.470100352,-1.42015765,-1.582742569,-1.692894647,-1.447178906,-1.53191442,-1.53191442,-1.271939586,-1.37623991,-1.299665007,-1.355683512,-1.599575424,-1.1555608,-1.54107226,-1.458798542,-1.415833567,-1.361878989,-1.339124246,-1.470618548,-1.373525618,-1.588303607,-1.526819088,-1.65923567,-1.837960865,-1.554467507,-1.403017614,-1.577230051,-1.547444046,-1.264474533,-1.512317627,-1.46958255,-1.283472198,-0.977671586,-1.090178025,-1.545119771,-1.174271849,-1.443182742
-1.682668245,-1.642071845,-1.407263942,-1.744469301,-1.654380542,-1.777619282,-1.805620126,-1.707818205,-1.703301218,-1.046624431,-1.671192373,-1.782763731,-1.603378244,-1.61947841,-1.583358047,-1.698818719,-1.297622259,-1.666945114,-1.707062953,-1.463912555,-1.58212769,-1.850478357,-1.638696534,-1.666945114,-1.848533666,-1.752577427,-1.495970884,-1.523444098,-1.549192755,-1.336972574,-1.724685902,-1.776766432,-1.649564102,-1.803828216,-1.832279397,-1.69363191,-1.764126054,-1.750132893,-1.804723447,-1.883625468,-1.720036946,-1.766631617,-1.759147895,-1.543382027,-1.839867939,-1.70180325,-1.585825979,-1.741257921,-1.70180325,-1.834166647,-1.406318121,-1.826656465,-1.549776712,-1.696590211,-1.952163615,-2.009668702,-1.811937904,-1.75503248,-1.897271483,-1.636680274,-1.595167837,-1.788825846,-1.70180325,-1.838913566,-1.587683286,-1.749320368,-1.682668245,-1.470618548,-1.48582123,-1.761631517,-1.579062229,-1.636680274
-2.010994928,0.57291921,-0.264655224,-1.793196519,-1.441690105,0.824113346,-1.477915133,-1.764126054,-0.344410967,-1.179542878,-1.37623991,-1.590791023,-1.07941227,-0.798217983,-0.010724313,-0.871201264,-1.046928498,0.700880247,0.123021523,0.723079433,0.842022133,-1.144661132,-1.286683815,-1.505730603,-2.335873686,-0.581850039,-1.183075184,0.490485832,0.339751008,-1.549776712,-1.165211899,-1.021123437,-1.913469028,-1.671192373,0.102320992,-1.593914201,-0.430663002,0.057696048,-0.702679388,-0.162630501,-0.01177921,-1.174271849,-0.605544984,0.571262712,-0.053822317,-1.212615036,-0.948046809,-1.472175511,-1.446678121,0.245403629,-0.697737195,-0.848555838,-0.063860609,0.219754238,-1.236805367,-1.25514456,-1.116021431,-1.779328869,-0.978806311,-2.00048267,0.631515152,-0.431627644,-1.506277029,-0.357686521,-1.246304719,-1.502461447,-0.750291812,-0.324702704,0.425845778,-1.520644803,-0.715792001,-0.98707107
-1.449185684,-1.588303607,-1.147712888,-1.446177699,-1.058555601,-1.237939397,-1.219242569,-1.328002431,-1.222947787,-0.98707107,-1.141619999,-1.300893264,-1.282671359,-1.128229775,-1.222205401,-1.042377618,-1.277485842,-1.057324962,-1.268394696,-1.122269687,-1.128894484,-1.512869515,-1.315788037,-1.454734632,-1.595795596,-0.567541305,-1.172172547,-1.177078995,-0.68701286,-1.365889564,-1.458798542,-1.452206839,-1.405373556,-1.160372839,-1.190184435,-1.24975216,-1.408211023,-1.315788037,-1.371271414,-1.273915894,-1.143308212,-1.446678121,-1.188757776,-1.266432182,-1.103007643,-1.187333532,-1.027361559,-1.441690105,-1.489009829,-1.257466798,-0.973992392,-1.318718347,-1.501918147,-1.3378325,-0.732472983,-1.414398074,-1.046928498,-1.228911301,-1.374881498,-1.142632536,-1.12557591,-1.572369956,-1.38352804,-1.3378325,-1.503549381,-1.232660801,-1.385361598,-1.289504906,-1.300074208,-1.234918843,-1.251289134,-1.326305903
0.035344171,0.21957414,-0.573540803,-0.325814834,-0.582683167,-0.348517924,-0.708994393,-0.864795442,-1.205313033,-0.300702366,-0.657263717,0.269392056,-0.678357202,-0.264655224,-0.368954562,-0.446923127,-0.541910028,-0.067031886,0.164590414,-0.706510139,0.083604688,0.145551453,-0.047133197,0.145018442,-0.678357202,0.143597281,-0.821400549,-0.597539436,-0.082546212,-0.588944592,-0.604489413,0.022153247,0.085721924,0.092782205,0.221555612,-0.097903782,0.065446165,-0.3064093,-0.287484906,-0.073552774,-0.02514277,-0.228407449,-0.492469566,0.247759643,-0.245041287,-0.501420542,-0.53885839,-0.826584798,-0.655737141,-0.281992552,-0.241781646,-0.055935157,-0.332496134,-0.633447743,0.143952544,0.113461418,0.024966909,0.066150909,0.187624177,0.068970218,0.136673217,0.070203836,0.468789527,-0.072847667,-0.569607779,0.292068495,0.000527415,-0.225521176,-0.082017008,-0.307883671,-0.899823219,0.07302394
-1.088904912,0.119833615,0.78451239,-1.324190596,0.001758051,-0.399999392,-1.101716515,-1.854388869,-0.293903644,0.072142596,-0.990797928,0.732013265,0.157822438,0.520853559,0.962194829,-1.577230051,0.334168769,0.011075944,0.068617775,0.219754238,0.640986011,-0.624235406,0.492866545,-1.066904708,-1.121939739,-1.408211023,0.341055049,0.305488156,0.260106172,0.004219334,-1.813756336,-1.089859581,-0.081487828,-0.75917374,0.120719021,-0.203932166,-1.153164784,-0.381781976,0.304014865,0.276874021,-0.616350726,-0.975405904,0.572090765,0.260469897,0.548845859,-0.930014484,0.2770567,-0.095607593,-0.822632888,-0.271945157,-0.056639492,-0.943098499,-0.707412999,0.421806937,-1.574188136,-1.080042086,-0.595229193,-1.255917887,-0.637750889,-1.049059679,0.512215079,-0.364817581,0.391064237,-1.061330417,0.469967197,0.763637221,-0.471538438,1.000320806,0.116115925,-0.788104757,0.057872146,0.27632604
